tail,head,capacity,length,fft(min),alpha,beta,speedLimit,toll,link_type,
33,272,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
34,293,1.00E+05,0.56,0.56,0.15,4,1,0,0,0
35,300,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
36,305,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
37,289,1.00E+05,2.56,2.56,0.15,4,1,0,0,0
37,336,1.00E+05,2.96,2.96,0.15,4,1,0,0,0
37,340,1.00E+05,2.56,2.56,0.15,4,1,0,0,0
37,341,1.00E+05,2.96,2.96,0.15,4,1,0,0,0
38,327,1.00E+05,0.56,0.56,0.15,4,1,0,0,0
39,329,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
40,311,1.00E+05,0.48,0.48,0.15,4,1,0,0,0
41,312,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
41,313,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
42,332,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
43,319,1.00E+05,1.76,1.76,0.15,4,1,0,0,0
44,339,1.00E+05,1.68,1.68,0.15,4,1,0,0,0
45,321,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
45,334,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
46,360,1.00E+05,0.4,0.4,0.15,4,1,0,0,0
46,361,1.00E+05,0.4,0.4,0.15,4,1,0,0,0
46,362,1.00E+05,1.2,1.2,0.15,4,1,0,0,0
47,376,1.00E+05,0.72,0.72,0.15,4,1,0,0,0
48,447,1.00E+05,0.44,0.44,0.15,4,1,0,0,0
49,378,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
50,377,1.00E+05,1.48,1.48,0.15,4,1,0,0,0
50,382,1.00E+05,1,1,0.15,4,1,0,0,0
51,383,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
51,443,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
51,444,1.00E+05,1.4,1.4,0.15,4,1,0,0,0
51,446,1.00E+05,1.36,1.36,0.15,4,1,0,0,0
52,405,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
53,394,1.00E+05,1.36,1.36,0.15,4,1,0,0,0
53,400,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
53,404,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
54,395,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
54,434,1.00E+05,3.8,3.8,0.15,4,1,0,0,0
54,1035,1.00E+05,1.16,1.16,0.15,4,1,0,0,0
55,393,1.00E+05,1.68,1.68,0.15,4,1,0,0,0
55,435,1.00E+05,3.4,3.4,0.15,4,1,0,0,0
56,406,1.00E+05,0.88,0.88,0.15,4,1,0,0,0
57,407,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
57,432,1.00E+05,5.28,5.28,0.15,4,1,0,0,0
57,1035,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
58,412,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
58,413,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
59,481,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
60,477,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
61,420,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
61,421,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
62,411,1.00E+05,0.44,0.44,0.15,4,1,0,0,0
62,418,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
62,429,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
63,418,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
63,419,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
64,426,1.00E+05,1,1,0.15,4,1,0,0,0
65,453,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
65,454,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
65,1034,1.00E+05,1.44,1.44,0.15,4,1,0,0,0
66,441,1.00E+05,1,1,0.15,4,1,0,0,0
67,465,1.00E+05,0.48,0.48,0.15,4,1,0,0,0
68,456,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
69,468,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
69,473,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
70,467,1.00E+05,1,1,0.15,4,1,0,0,0
70,472,1.00E+05,1.96,1.96,0.15,4,1,0,0,0
71,462,1.00E+05,0.44,0.44,0.15,4,1,0,0,0
72,457,1.00E+05,1.2,1.2,0.15,4,1,0,0,0
72,464,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
73,483,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
73,500,1.00E+05,1.8,1.8,0.15,4,1,0,0,0
73,501,1.00E+05,1.64,1.64,0.15,4,1,0,0,0
74,503,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
75,485,1.00E+05,2.72,2.72,0.15,4,1,0,0,0
75,498,1.00E+05,1.72,1.72,0.15,4,1,0,0,0
76,493,1.00E+05,1.44,1.44,0.15,4,1,0,0,0
76,507,1.00E+05,1.36,1.36,0.15,4,1,0,0,0
77,504,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
78,492,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
79,620,1.00E+05,0.44,0.44,0.15,4,1,0,0,0
79,621,1.00E+05,0.44,0.44,0.15,4,1,0,0,0
79,652,1.00E+05,0.64,0.64,0.15,4,1,0,0,0
80,628,1.00E+05,1.36,1.36,0.15,4,1,0,0,0
80,629,1.00E+05,1.36,1.36,0.15,4,1,0,0,0
80,657,1.00E+05,1.4,1.4,0.15,4,1,0,0,0
81,653,1.00E+05,0.48,0.48,0.15,4,1,0,0,0
81,658,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
82,703,1.00E+05,0.44,0.44,0.15,4,1,0,0,0
83,700,1.00E+05,0.88,0.88,0.15,4,1,0,0,0
83,701,1.00E+05,0.88,0.88,0.15,4,1,0,0,0
83,720,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
83,722,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
84,770,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
85,771,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
86,777,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
86,778,1.00E+05,1.36,1.36,0.15,4,1,0,0,0
87,797,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
88,786,1.00E+05,1.76,1.76,0.15,4,1,0,0,0
88,788,1.00E+05,1.44,1.44,0.15,4,1,0,0,0
88,789,1.00E+05,1.44,1.44,0.15,4,1,0,0,0
88,793,1.00E+05,1.76,1.76,0.15,4,1,0,0,0
89,798,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
89,799,1.00E+05,1.72,1.72,0.15,4,1,0,0,0
90,812,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
90,814,1.00E+05,2.56,2.56,0.15,4,1,0,0,0
91,813,1.00E+05,2.44,2.44,0.15,4,1,0,0,0
92,818,1.00E+05,3.4,3.4,0.15,4,1,0,0,0
92,819,1.00E+05,2.04,2.04,0.15,4,1,0,0,0
93,558,1.00E+05,0.36,0.36,0.15,4,1,0,0,0
94,648,1.00E+05,1.2,1.2,0.15,4,1,0,0,0
94,659,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
94,694,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
94,695,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
95,601,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
95,647,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
95,650,1.00E+05,1.4,1.4,0.15,4,1,0,0,0
96,600,1.00E+05,0.48,0.48,0.15,4,1,0,0,0
96,644,1.00E+05,0.88,0.88,0.15,4,1,0,0,0
97,694,1.00E+05,1.6,1.6,0.15,4,1,0,0,0
97,695,1.00E+05,1.6,1.6,0.15,4,1,0,0,0
97,718,1.00E+05,1.76,1.76,0.15,4,1,0,0,0
97,728,1.00E+05,1.6,1.6,0.15,4,1,0,0,0
98,688,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
98,689,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
99,677,1.00E+05,2.48,2.48,0.15,4,1,0,0,0
99,687,1.00E+05,0.72,0.72,0.15,4,1,0,0,0
100,751,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
100,752,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
101,708,1.00E+05,1.96,1.96,0.15,4,1,0,0,0
101,836,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
102,705,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
102,742,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
103,546,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
103,548,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
104,532,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
104,533,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
105,637,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
105,639,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
106,631,1.00E+05,1.24,1.24,0.15,4,1,0,0,0
106,633,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
106,634,1.00E+05,1.4,1.4,0.15,4,1,0,0,0
106,670,1.00E+05,1.68,1.68,0.15,4,1,0,0,0
107,540,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
107,541,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
107,543,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
107,578,1.00E+05,0.72,0.72,0.15,4,1,0,0,0
107,579,1.00E+05,0.72,0.72,0.15,4,1,0,0,0
108,524,1.00E+05,0.72,0.72,0.15,4,1,0,0,0
108,541,1.00E+05,1.4,1.4,0.15,4,1,0,0,0
109,684,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
109,706,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
110,670,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
110,682,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
110,686,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
111,633,1.00E+05,1.84,1.84,0.15,4,1,0,0,0
111,667,1.00E+05,1.64,1.64,0.15,4,1,0,0,0
112,570,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
112,571,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
113,522,1.00E+05,0.8,0.8,0.15,4,1,0,0,0
113,538,1.00E+05,1.16,1.16,0.15,4,1,0,0,0
114,567,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
114,665,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
115,520,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
116,667,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
116,683,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
117,519,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
118,516,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
119,662,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
120,511,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
121,1032,1.00E+05,2,2,0.15,4,1,0,0,0
122,1033,1.00E+05,2,2,0.15,4,1,0,0,0
123,241,1.00E+05,2,2,0.15,4,1,0,0,0
124,353,1.00E+05,2,2,0.15,4,1,0,0,0
125,335,1.00E+05,2,2,0.15,4,1,0,0,0
125,348,1.00E+05,2,2,0.15,4,1,0,0,0
126,324,1.00E+05,2,2,0.15,4,1,0,0,0
127,1030,1.00E+05,2,2,0.15,4,1,0,0,0
128,469,1.00E+05,2,2,0.15,4,1,0,0,0
129,827,1.00E+05,2,2,0.15,4,1,0,0,0
129,828,1.00E+05,2,2,0.15,4,1,0,0,0
130,801,1.00E+05,2,2,0.15,4,1,0,0,0
131,800,1.00E+05,2,2,0.15,4,1,0,0,0
132,737,1.00E+05,2,2,0.15,4,1,0,0,0
133,660,1.00E+05,2,2,0.15,4,1,0,0,0
134,1031,1.00E+05,2,2,0.15,4,1,0,0,0
135,872,1.00E+05,1.56,1.56,0.15,4,1,0,0,0
135,1048,1.00E+05,0.78,0.78,0.15,4,1,0,0,0
136,854,1.00E+05,0.78,0.78,0.15,4,1,0,0,0
136,870,1.00E+05,1.38,1.38,0.15,4,1,0,0,0
137,721,1.00E+05,0.4,0.4,0.15,4,1,0,0,0
137,732,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
138,804,1.00E+05,4.52,4.52,0.15,4,1,0,0,0
138,817,1.00E+05,3,3,0.15,4,1,0,0,0
139,755,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
140,803,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
141,740,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
142,338,1.00E+05,5.28,5.28,0.15,4,1,0,0,0
143,824,1.00E+05,2.84,2.84,0.15,4,1,0,0,0
143,831,1.00E+05,2.84,2.84,0.15,4,1,0,0,0
144,825,1.00E+05,3.4,3.4,0.15,4,1,0,0,0
144,830,1.00E+05,3.4,3.4,0.15,4,1,0,0,0
145,826,1.00E+05,3.8,3.8,0.15,4,1,0,0,0
145,829,1.00E+05,3.8,3.8,0.15,4,1,0,0,0
146,779,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
147,488,1.00E+05,2,2,0.15,4,1,0,0,0
148,1,0.1,1,166.6666667,0.15,4,1,0,0,0
149,1,0.1,1,166.6666667,0.15,4,1,0,0,0
150,1,0.1,1,166.6666667,0.15,4,1,0,0,0
151,1,0.1,1,166.6666667,0.15,4,1,0,0,0
152,1,0.1,1,166.6666667,0.15,4,1,0,0,0
153,1,0.1,1,166.6666667,0.15,4,1,0,0,0
154,1,0.1,1,166.6666667,0.15,4,1,0,0,0
155,1,0.1,1,166.6666667,0.15,4,1,0,0,0
156,1,0.1,1,166.6666667,0.15,4,1,0,0,0
157,1,0.1,1,166.6666667,0.15,4,1,0,0,0
158,1,0.1,1,166.6666667,0.15,4,1,0,0,0
159,1,0.1,1,166.6666667,0.15,4,1,0,0,0
160,162,3492.09,0.390935,0.390935,0.15,4,1,0,0,0
160,203,941.289,0.730435,0.730435,0.15,4,1,0,0,0
161,204,662.622,1.56522,1.56522,0.15,4,1,0,0,0
161,536,3492.09,0.373938,0.373938333,0.15,4,1,0.0373938,0,0
162,161,5238.14,0.424929,0.424928333,0.15,4,1,0.0424929,0,0
162,163,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
162,164,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
163,162,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
163,164,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
163,527,1339.13,1.8,1.8,0.15,4,1,0.18,0,0
164,162,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
164,163,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
164,165,1946.15,0.240741,0.240741667,0.15,4,1,0.0240741,0,0
165,164,2919.23,0.240741,0.240741667,0.15,4,1,0.0240741,0,0
165,166,1946.15,0.240741,0.240741667,0.15,4,1,0,0,0
165,201,1325.24,1.51304,1.51304,0.15,4,1,0,0,0
166,10,1.00E+05,1.56,1.56,0.15,4,1,0,0,0
166,165,2919.23,0.240741,0.240741667,0.15,4,1,0.0240741,0,0
166,167,1946.15,0.444444,0.444443333,0.15,4,1,0,0,0
167,11,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
167,166,2919.23,0.444444,0.444443333,0.15,4,1,0.0444444,0,0
167,168,1946.15,0.481481,0.481481667,0.15,4,1,0,0,0
168,167,2919.23,0.481481,0.481481667,0.15,4,1,0.0481481,0,0
168,169,1946.15,1.05556,1.05556,0.15,4,1,0,0,0
168,198,941.289,1.64348,1.64348,0.15,4,1,0,0,0
169,13,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
169,168,2919.23,1.05556,1.05556,0.15,4,1,0.105556,0,0
169,170,1946.15,0.277778,0.277778333,0.15,4,1,0,0,0
170,12,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
170,169,2919.23,0.277778,0.277778333,0.15,4,1,0.0277778,0,0
170,171,1946.15,0.722222,0.722221667,0.15,4,1,0,0,0
171,14,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
171,170,2919.23,0.722222,0.722221667,0.15,4,1,0.0722222,0,0
171,172,1946.15,0.37037,0.37037,0.15,4,1,0,0,0
172,171,2919.23,0.37037,0.37037,0.15,4,1,0.037037,0,0
172,173,1946.15,0.62963,0.62963,0.15,4,1,0,0,0
172,189,941.289,1.66957,1.669566667,0.15,4,1,0,0,0
173,16,1.00E+05,2.44,2.44,0.15,4,1,0,0,0
173,172,2919.23,0.62963,0.62963,0.15,4,1,0.062963,0,0
173,174,1946.15,0.351852,0.351851667,0.15,4,1,0,0,0
174,17,1.00E+05,1.68,1.68,0.15,4,1,0,0,0
174,173,1946.15,0.351852,0.351851667,0.15,4,1,0.0351852,0,0
174,175,1946.15,0.611111,0.611111667,0.15,4,1,0,0,0
175,174,1946.15,0.611111,0.611111667,0.15,4,1,0,0,0
175,176,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
176,175,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
176,177,1946.15,1.51852,1.51852,0.15,4,1,0,0,0
177,19,1.00E+05,2.16,2.16,0.15,4,1,0,0,0
177,176,1946.15,1.51852,1.51852,0.15,4,1,0,0,0
177,178,1946.15,1.7037,1.7037,0.15,4,1,0,0,0
178,177,973.077,1.7037,1.7037,0.15,4,1,0,0,0
178,179,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
178,180,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
178,181,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
179,178,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
179,180,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
179,181,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
179,215,3395.99,2.76812,2.768116667,0.15,4,1,0,0,0
180,178,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
180,179,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
180,181,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
180,182,973.077,1.11111,1.11111,0.15,4,1,0,0,0
181,178,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
181,179,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
181,180,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
181,514,3395.99,0.797101,0.797101667,0.15,4,1,0,0,0
182,20,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
182,180,973.077,1.11111,1.11111,0.15,4,1,0,0,0
182,1032,1298.36,0.327273,0.327273333,0.15,4,1,0,0,0
183,19,1.00E+05,2.52,2.52,0.15,4,1,0,0,0
183,184,662.622,0.965217,0.965216667,0.15,4,1,0,0,0
184,183,662.622,0.965217,0.965216667,0.15,4,1,0,0,0
184,185,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
185,184,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
185,186,662.622,1.04348,1.04348,0.15,4,1,0,0,0
186,17,1.00E+05,2.44,2.44,0.15,4,1,0,0,0
186,185,662.622,1.04348,1.04348,0.15,4,1,0,0,0
186,187,662.622,0.756522,0.756521667,0.15,4,1,0,0,0
187,16,1.00E+05,2.44,2.44,0.15,4,1,0,0,0
187,186,662.622,0.756522,0.756521667,0.15,4,1,0,0,0
187,188,662.622,0.626087,0.626086667,0.15,4,1,0.0626087,0,0
188,187,662.622,0.626087,0.626086667,0.15,4,1,0,0,0
188,189,941.289,1.48696,1.48696,0.15,4,1,0,0,0
188,190,662.622,0.886957,0.886956667,0.15,4,1,0,0,0
188,220,941.289,1.43478,1.43478,0.15,4,1,0.143478,0,0
189,14,1.00E+05,0.24,0.24,0.15,4,1,0,0,0
189,172,941.289,1.66957,1.669566667,0.15,4,1,0,0,0
189,188,941.289,1.48696,1.48696,0.15,4,1,0,0,0
190,18,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
190,188,662.622,0.886957,0.886956667,0.15,4,1,0,0,0
190,191,662.622,0.93913,0.93913,0.15,4,1,0.093913,0,0
191,13,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
191,190,662.622,0.93913,0.93913,0.15,4,1,0,0,0
191,192,662.622,0.782609,0.782608333,0.15,4,1,0.0782609,0,0
192,191,662.622,0.782609,0.782608333,0.15,4,1,0,0,0
192,193,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
192,194,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
193,192,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
193,194,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
193,224,973.077,0.759259,0.759258333,0.15,4,1,0,0,0
194,192,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
194,193,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
194,195,1325.24,0.6,0.6,0.15,4,1,0,0,0
195,15,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
195,194,662.622,0.6,0.6,0.15,4,1,0,0,0
195,196,1325.24,0.365217,0.365216667,0.15,4,1,0.0365217,0,0
196,195,662.622,0.365217,0.365216667,0.15,4,1,0,0,0
196,198,941.289,1.2,1.2,0.15,4,1,0.12,0,0
196,209,662.622,1.64348,1.64348,0.15,4,1,0.164348,0,0
197,13,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
197,198,941.289,1.22609,1.22609,0.15,4,1,0,0,0
198,168,941.289,1.64348,1.64348,0.15,4,1,0,0,0
198,196,941.289,1.2,1.2,0.15,4,1,0,0,0
198,197,941.289,1.22609,1.22609,0.15,4,1,0,0,0
198,199,1882.58,0.33913,0.33913,0.15,4,1,0,0,0
199,11,1.00E+05,1.2,1.2,0.15,4,1,0,0,0
199,198,941.289,0.33913,0.33913,0.15,4,1,0,0,0
199,200,941.289,0.6,0.6,0.15,4,1,0.06,0,0
200,10,1.00E+05,1.56,1.56,0.15,4,1,0,0,0
200,199,941.289,0.6,0.6,0.15,4,1,0,0,0
200,201,1882.58,0.313043,0.313043333,0.15,4,1,0,0,0
201,165,1325.24,1.51304,1.51304,0.15,4,1,0,0,0
201,200,941.289,0.313043,0.313043333,0.15,4,1,0,0,0
201,202,941.289,0.573913,0.573913333,0.15,4,1,0,0,0
201,206,1882.58,0.417391,0.417391667,0.15,4,1,0,0,0
202,201,941.289,0.573913,0.573913333,0.15,4,1,0,0,0
