tail,head,cap,length,fft,alpha,beta,speedLimit,toll,type
102,648,49500,1.388332788,0,0.15,4,0,0,3
103,649,49500,1.388332788,0,0.15,4,0,0,3
104,650,49500,1.388332788,0,0.15,4,0,0,3
105,651,49500,1.388332788,0,0.15,4,0,0,3
106,652,49500,1.388332788,0,0.15,4,0,0,3
107,653,49500,1.388332788,0,0.15,4,0,0,3
108,654,49500,1.388332788,0,0.15,4,0,0,3
109,655,49500,1.388332788,0,0.15,4,0,0,3
110,656,49500,1.388332788,0,0.15,4,0,0,3
111,657,49500,1.388332788,0,0.15,4,0,0,3
112,658,49500,1.388332788,0,0.15,4,0,0,3
113,659,49500,1.388332788,0,0.15,4,0,0,3
114,660,49500,1.388332788,0,0.15,4,0,0,3
115,661,49500,1.388332788,0,0.15,4,0,0,3
116,662,49500,1.388332788,0,0.15,4,0,0,3
117,663,49500,1.388332788,0,0.15,4,0,0,3
118,664,49500,1.388332788,0,0.15,4,0,0,3
119,665,49500,1.388332788,0,0.15,4,0,0,3
120,666,49500,1.388332788,0,0.15,4,0,0,3
121,667,49500,1.388332788,0,0.15,4,0,0,3
122,668,49500,1.388332788,0,0.15,4,0,0,3
123,669,49500,1.388332788,0,0.15,4,0,0,3
124,670,49500,1.388332788,0,0.15,4,0,0,3
125,671,49500,1.388332788,0,0.15,4,0,0,3
126,672,49500,1.388332788,0,0.15,4,0,0,3
127,673,49500,1.388332788,0,0.15,4,0,0,3
128,674,49500,1.388332788,0,0.15,4,0,0,3
129,675,49500,1.388332788,0,0.15,4,0,0,3
130,676,49500,1.388332788,0,0.15,4,0,0,3
131,677,49500,1.388332788,0,0.15,4,0,0,3
132,678,49500,1.388332788,0,0.15,4,0,0,3
133,679,49500,1.388332788,0,0.15,4,0,0,3
134,680,49500,1.388332788,0,0.15,4,0,0,3
135,681,49500,1.388332788,0,0.15,4,0,0,3
136,682,49500,1.388332788,0,0.15,4,0,0,3
137,683,49500,1.388332788,0,0.15,4,0,0,3
138,684,49500,1.388332788,0,0.15,4,0,0,3
139,685,49500,1.388332788,0,0.15,4,0,0,3
140,686,49500,1.388332788,0,0.15,4,0,0,3
141,687,49500,1.388332788,0,0.15,4,0,0,3
142,688,49500,1.388332788,0,0.15,4,0,0,3
143,689,49500,1.388332788,0,0.15,4,0,0,3
144,690,49500,1.388332788,0,0.15,4,0,0,3
145,691,49500,1.388332788,0,0.15,4,0,0,3
146,692,49500,1.388332788,0,0.15,4,0,0,3
147,693,49500,1.388332788,0,0.15,4,0,0,3
148,694,49500,1.388332788,0,0.15,4,0,0,3
149,695,49500,1.388332788,0,0.15,4,0,0,3
150,696,49500,1.388332788,0,0.15,4,0,0,3
151,697,49500,1.388332788,0,0.15,4,0,0,3
152,698,49500,1.388332788,0,0.15,4,0,0,3
153,699,49500,1.388332788,0,0.15,4,0,0,3
154,700,49500,1.388332788,0,0.15,4,0,0,3
155,701,49500,1.388332788,0,0.15,4,0,0,3
156,702,49500,1.388332788,0,0.15,4,0,0,3
157,703,49500,1.388332788,0,0.15,4,0,0,3
158,704,49500,1.388332788,0,0.15,4,0,0,3
159,705,49500,1.388332788,0,0.15,4,0,0,3
160,706,49500,1.388332788,0,0.15,4,0,0,3
161,707,49500,1.388332788,0,0.15,4,0,0,3
162,708,49500,1.388332788,0,0.15,4,0,0,3
163,709,49500,1.388332788,0,0.15,4,0,0,3
164,710,49500,1.388332788,0,0.15,4,0,0,3
165,711,49500,1.388332788,0,0.15,4,0,0,3
166,712,49500,1.388332788,0,0.15,4,0,0,3
167,713,49500,1.388332788,0,0.15,4,0,0,3
168,714,49500,1.388332788,0,0.15,4,0,0,3
169,715,49500,1.388332788,0,0.15,4,0,0,3
170,716,49500,1.388332788,0,0.15,4,0,0,3
171,717,49500,1.388332788,0,0.15,4,0,0,3
172,718,49500,1.388332788,0,0.15,4,0,0,3
173,719,49500,1.388332788,0,0.15,4,0,0,3
174,720,49500,1.388332788,0,0.15,4,0,0,3
175,721,49500,1.388332788,0,0.15,4,0,0,3
176,722,49500,1.388332788,0,0.15,4,0,0,3
177,723,49500,1.388332788,0,0.15,4,0,0,3
178,724,49500,1.388332788,0,0.15,4,0,0,3
179,725,49500,1.388332788,0,0.15,4,0,0,3
180,726,49500,1.388332788,0,0.15,4,0,0,3
181,727,49500,1.388332788,0,0.15,4,0,0,3
182,728,49500,1.388332788,0,0.15,4,0,0,3
183,729,49500,1.388332788,0,0.15,4,0,0,3
184,730,49500,1.388332788,0,0.15,4,0,0,3
185,731,49500,1.388332788,0,0.15,4,0,0,3
186,732,49500,1.388332788,0,0.15,4,0,0,3
187,733,49500,1.388332788,0,0.15,4,0,0,3
188,734,49500,1.388332788,0,0.15,4,0,0,3
189,735,49500,1.388332788,0,0.15,4,0,0,3
190,736,49500,1.388332788,0,0.15,4,0,0,3
191,737,49500,1.388332788,0,0.15,4,0,0,3
192,738,49500,1.388332788,0,0.15,4,0,0,3
193,739,49500,1.388332788,0,0.15,4,0,0,3
194,740,49500,1.388332788,0,0.15,4,0,0,3
195,741,49500,1.388332788,0,0.15,4,0,0,3
196,742,49500,1.388332788,0,0.15,4,0,0,3
197,743,49500,1.388332788,0,0.15,4,0,0,3
198,744,49500,1.388332788,0,0.15,4,0,0,3
199,745,49500,1.388332788,0,0.15,4,0,0,3
200,746,49500,1.388332788,0,0.15,4,0,0,3
201,747,49500,1.388332788,0,0.15,4,0,0,3
202,748,49500,1.388332788,0,0.15,4,0,0,3
203,749,49500,1.388332788,0,0.15,4,0,0,3
204,750,49500,1.388332788,0,0.15,4,0,0,3
205,751,49500,1.388332788,0,0.15,4,0,0,3
206,752,49500,1.388332788,0,0.15,4,0,0,3
207,753,49500,1.388332788,0,0.15,4,0,0,3
208,754,49500,1.388332788,0,0.15,4,0,0,3
209,755,49500,1.388332788,0,0.15,4,0,0,3
210,756,49500,1.388332788,0,0.15,4,0,0,3
211,757,49500,1.388332788,0,0.15,4,0,0,3
212,758,49500,1.388332788,0,0.15,4,0,0,3
213,759,49500,1.388332788,0,0.15,4,0,0,3
214,760,49500,1.388332788,0,0.15,4,0,0,3
215,761,49500,1.388332788,0,0.15,4,0,0,3
216,762,49500,1.388332788,0,0.15,4,0,0,3
217,763,49500,1.388332788,0,0.15,4,0,0,3
218,764,49500,1.388332788,0,0.15,4,0,0,3
219,765,49500,1.388332788,0,0.15,4,0,0,3
220,766,49500,1.388332788,0,0.15,4,0,0,3
221,767,49500,1.388332788,0,0.15,4,0,0,3
222,768,49500,1.388332788,0,0.15,4,0,0,3
223,769,49500,1.388332788,0,0.15,4,0,0,3
224,770,49500,1.388332788,0,0.15,4,0,0,3
225,771,49500,1.388332788,0,0.15,4,0,0,3
226,772,49500,1.388332788,0,0.15,4,0,0,3
227,773,49500,1.388332788,0,0.15,4,0,0,3
228,774,49500,1.388332788,0,0.15,4,0,0,3
229,775,49500,1.388332788,0,0.15,4,0,0,3
230,776,49500,1.388332788,0,0.15,4,0,0,3
231,777,49500,1.388332788,0,0.15,4,0,0,3
232,778,49500,1.388332788,0,0.15,4,0,0,3
233,779,49500,1.388332788,0,0.15,4,0,0,3
234,780,49500,1.388332788,0,0.15,4,0,0,3
235,781,49500,1.388332788,0,0.15,4,0,0,3
236,782,49500,1.388332788,0,0.15,4,0,0,3
237,783,49500,1.388332788,0,0.15,4,0,0,3
238,784,49500,1.388332788,0,0.15,4,0,0,3
239,785,49500,1.388332788,0,0.15,4,0,0,3
240,786,49500,1.388332788,0,0.15,4,0,0,3
241,787,49500,1.388332788,0,0.15,4,0,0,3
242,788,49500,1.388332788,0,0.15,4,0,0,3
243,789,49500,1.388332788,0,0.15,4,0,0,3
244,790,49500,1.388332788,0,0.15,4,0,0,3
245,791,49500,1.388332788,0,0.15,4,0,0,3
246,792,49500,1.388332788,0,0.15,4,0,0,3
247,793,49500,1.388332788,0,0.15,4,0,0,3
248,794,49500,1.388332788,0,0.15,4,0,0,3
249,795,49500,1.388332788,0,0.15,4,0,0,3
250,796,49500,1.388332788,0,0.15,4,0,0,3
251,797,49500,1.388332788,0,0.15,4,0,0,3
252,798,49500,1.388332788,0,0.15,4,0,0,3
253,799,49500,1.388332788,0,0.15,4,0,0,3
254,800,49500,1.388332788,0,0.15,4,0,0,3
255,801,49500,1.388332788,0,0.15,4,0,0,3
256,802,49500,1.388332788,0,0.15,4,0,0,3
257,803,49500,1.388332788,0,0.15,4,0,0,3
258,804,49500,1.388332788,0,0.15,4,0,0,3
259,805,49500,1.388332788,0,0.15,4,0,0,3
260,806,49500,1.388332788,0,0.15,4,0,0,3
261,807,49500,1.388332788,0,0.15,4,0,0,3
262,808,49500,1.388332788,0,0.15,4,0,0,3
263,809,49500,1.388332788,0,0.15,4,0,0,3
264,810,49500,1.388332788,0,0.15,4,0,0,3
265,811,49500,1.388332788,0,0.15,4,0,0,3
266,812,49500,1.388332788,0,0.15,4,0,0,3
267,813,49500,1.388332788,0,0.15,4,0,0,3
268,814,49500,1.388332788,0,0.15,4,0,0,3
269,815,49500,1.388332788,0,0.15,4,0,0,3
270,816,49500,1.388332788,0,0.15,4,0,0,3
271,817,49500,1.388332788,0,0.15,4,0,0,3
272,818,49500,1.388332788,0,0.15,4,0,0,3
273,819,49500,1.388332788,0,0.15,4,0,0,3
274,820,49500,1.388332788,0,0.15,4,0,0,3
275,821,49500,1.388332788,0,0.15,4,0,0,3
276,822,49500,1.388332788,0,0.15,4,0,0,3
277,823,49500,1.388332788,0,0.15,4,0,0,3
278,824,49500,1.388332788,0,0.15,4,0,0,3
279,825,49500,1.388332788,0,0.15,4,0,0,3
280,826,49500,1.388332788,0,0.15,4,0,0,3
281,827,49500,1.388332788,0,0.15,4,0,0,3
282,828,49500,1.388332788,0,0.15,4,0,0,3
283,829,49500,1.388332788,0,0.15,4,0,0,3
284,830,49500,1.388332788,0,0.15,4,0,0,3
285,831,49500,1.388332788,0,0.15,4,0,0,3
286,832,49500,1.388332788,0,0.15,4,0,0,3
287,833,49500,1.388332788,0,0.15,4,0,0,3
288,834,49500,1.388332788,0,0.15,4,0,0,3
289,835,49500,1.388332788,0,0.15,4,0,0,3
290,836,49500,1.388332788,0,0.15,4,0,0,3
291,837,49500,1.388332788,0,0.15,4,0,0,3
292,838,49500,1.388332788,0,0.15,4,0,0,3
293,839,49500,1.388332788,0,0.15,4,0,0,3
294,840,49500,1.388332788,0,0.15,4,0,0,3
295,841,49500,1.388332788,0,0.15,4,0,0,3
296,842,49500,1.388332788,0,0.15,4,0,0,3
297,843,49500,1.388332788,0,0.15,4,0,0,3
298,844,49500,1.388332788,0,0.15,4,0,0,3
299,845,49500,1.388332788,0,0.15,4,0,0,3
300,846,49500,1.388332788,0,0.15,4,0,0,3
301,847,49500,1.388332788,0,0.15,4,0,0,3
302,848,49500,1.388332788,0,0.15,4,0,0,3
303,849,49500,1.388332788,0,0.15,4,0,0,3
304,850,49500,1.388332788,0,0.15,4,0,0,3
305,851,49500,1.388332788,0,0.15,4,0,0,3
306,852,49500,1.388332788,0,0.15,4,0,0,3
307,853,49500,1.388332788,0,0.15,4,0,0,3
308,854,49500,1.388332788,0,0.15,4,0,0,3
309,855,49500,1.388332788,0,0.15,4,0,0,3
310,856,49500,1.388332788,0,0.15,4,0,0,3
311,857,49500,1.388332788,0,0.15,4,0,0,3
312,858,49500,1.388332788,0,0.15,4,0,0,3
313,859,49500,1.388332788,0,0.15,4,0,0,3
314,860,49500,1.388332788,0,0.15,4,0,0,3
315,861,49500,1.388332788,0,0.15,4,0,0,3
316,862,49500,1.388332788,0,0.15,4,0,0,3
317,863,49500,1.388332788,0,0.15,4,0,0,3
318,864,49500,1.388332788,0,0.15,4,0,0,3
319,865,49500,1.388332788,0,0.15,4,0,0,3
320,866,49500,1.388332788,0,0.15,4,0,0,3
321,867,49500,1.388332788,0,0.15,4,0,0,3
322,868,49500,1.388332788,0,0.15,4,0,0,3
323,869,49500,1.388332788,0,0.15,4,0,0,3
324,870,49500,1.388332788,0,0.15,4,0,0,3
325,871,49500,1.388332788,0,0.15,4,0,0,3
326,872,49500,1.388332788,0,0.15,4,0,0,3
327,873,49500,1.388332788,0,0.15,4,0,0,3
328,874,49500,1.388332788,0,0.15,4,0,0,3
329,875,49500,1.388332788,0,0.15,4,0,0,3
330,876,49500,1.388332788,0,0.15,4,0,0,3
331,877,49500,1.388332788,0,0.15,4,0,0,3
332,878,49500,1.388332788,0,0.15,4,0,0,3
333,879,49500,1.388332788,0,0.15,4,0,0,3
334,880,49500,1.388332788,0,0.15,4,0,0,3
335,881,49500,1.388332788,0,0.15,4,0,0,3
336,882,49500,1.388332788,0,0.15,4,0,0,3
337,883,49500,1.388332788,0,0.15,4,0,0,3
338,884,49500,1.388332788,0,0.15,4,0,0,3
339,885,49500,1.388332788,0,0.15,4,0,0,3
340,886,49500,1.388332788,0,0.15,4,0,0,3
341,887,49500,1.388332788,0,0.15,4,0,0,3
342,888,49500,1.388332788,0,0.15,4,0,0,3
343,889,49500,1.388332788,0,0.15,4,0,0,3
344,890,49500,1.388332788,0,0.15,4,0,0,3
345,891,49500,1.388332788,0,0.15,4,0,0,3
346,892,49500,1.388332788,0,0.15,4,0,0,3
347,893,49500,1.388332788,0,0.15,4,0,0,3
348,894,49500,1.388332788,0,0.15,4,0,0,3
349,895,49500,1.388332788,0,0.15,4,0,0,3
350,896,49500,1.388332788,0,0.15,4,0,0,3
351,897,49500,1.388332788,0,0.15,4,0,0,3
352,898,49500,1.388332788,0,0.15,4,0,0,3
353,899,49500,1.388332788,0,0.15,4,0,0,3
354,900,49500,1.388332788,0,0.15,4,0,0,3
355,901,49500,1.388332788,0,0.15,4,0,0,3
356,902,49500,1.388332788,0,0.15,4,0,0,3
357,903,49500,1.388332788,0,0.15,4,0,0,3
358,904,49500,1.388332788,0,0.15,4,0,0,3
359,905,49500,1.388332788,0,0.15,4,0,0,3
360,906,49500,1.388332788,0,0.15,4,0,0,3
361,907,49500,1.388332788,0,0.15,4,0,0,3
362,908,49500,1.388332788,0,0.15,4,0,0,3
363,909,49500,1.388332788,0,0.15,4,0,0,3
364,910,49500,1.388332788,0,0.15,4,0,0,3
365,911,49500,1.388332788,0,0.15,4,0,0,3
366,912,49500,1.388332788,0,0.15,4,0,0,3
367,913,49500,1.388332788,0,0.15,4,0,0,3
368,914,49500,1.388332788,0,0.15,4,0,0,3
369,915,49500,1.388332788,0,0.15,4,0,0,3
370,916,49500,1.388332788,0,0.15,4,0,0,3
371,917,49500,1.388332788,0,0.15,4,0,0,3
372,918,49500,1.388332788,0,0.15,4,0,0,3
373,919,49500,1.388332788,0,0.15,4,0,0,3
374,920,49500,1.388332788,0,0.15,4,0,0,3
375,921,49500,1.388332788,0,0.15,4,0,0,3
376,922,49500,1.388332788,0,0.15,4,0,0,3
377,923,49500,1.388332788,0,0.15,4,0,0,3
378,924,49500,1.388332788,0,0.15,4,0,0,3
379,925,49500,1.388332788,0,0.15,4,0,0,3
380,926,49500,1.388332788,0,0.15,4,0,0,3
381,927,49500,1.388332788,0,0.15,4,0,0,3
382,928,49500,1.388332788,0,0.15,4,0,0,3
383,929,49500,1.388332788,0,0.15,4,0,0,3
384,930,49500,1.388332788,0,0.15,4,0,0,3
385,931,49500,1.388332788,0,0.15,4,0,0,3
386,932,49500,1.388332788,0,0.15,4,0,0,3
387,933,49500,1.388332788,0,0.15,4,0,0,3
388,390,3500,19.3874453,11.09,0.15,4,0,0,2
388,391,3500,10.23088949,5.98,0.15,4,0,0,2
388,708,2000,2.918802839,2.9,0.15,4,0,0,1
388,802,2000,7.123246226,4.78,0.15,4,0,0,1
389,390,1000,7.564818033,4.34,0.15,4,0,0,2
389,801,2500,12.08567454,9.58,0.15,4,0,0,1
389,914,2500,5.313892954,3.96,0.15,4,0,0,1
390,388,3500,19.3874453,11.09,0.15,4,0,0,2
390,389,1000,7.564818033,4.34,0.15,4,0,0,2
390,925,3500,11.3623066,6.93,0.15,4,0,0,2
391,388,3500,10.23088949,5.98,0.15,4,0,0,2
391,392,3500,7.336516493,4.22,0.15,4,0,0,2
391,709,3000,2.04278862,0.53,0.15,4,0,0,1
391,715,3000,7.590261761,6.36,0.15,4,0,0,1
392,391,3500,7.336516493,4.22,0.15,4,0,0,2
392,393,3500,4.346178313,2.55,0.15,4,0,0.434617831,2
392,713,1000,2.6956512,1.05,0.15,4,0,0.26956512,1
392,717,1000,2.582449943,2.98,0.15,4,0,0,1
393,392,3500,4.346178313,2.55,0.15,4,0,0,2
393,394,5000,5.00763479,3.42,0.15,4,0,0.500763479,2
393,712,3500,4.360565848,2.62,0.15,4,0,0,1
393,716,3500,0.986592246,1.87,0.15,4,0,0,1
394,393,5000,5.00763479,3.42,0.15,4,0,0,2
394,395,5000,3.63360907,2.42,0.15,4,0,0,2
394,584,500,7.680513773,4.97,0.15,4,0,0.768051377,1
394,601,500,0.905078972,1.75,0.15,4,0,0.090507897,1
395,394,5000,3.63360907,2.42,0.15,4,0,0,2
395,396,5000,5.402921864,3.65,0.15,4,0,0.540292186,2
395,584,3500,6.234373348,3.88,0.15,4,0,0,1
395,600,3500,1.335256623,1.36,0.15,4,0,0,1
396,395,5000,5.402921864,3.65,0.15,4,0,0,2
396,397,5000,3.142968365,2.11,0.15,4,0,0.314296837,2
397,396,5000,3.142968365,2.11,0.15,4,0,0,2
397,398,5000,3.503992504,2.36,0.15,4,0,0.35039925,2
397,588,3000,4.024969344,3.02,0.15,4,0,0,1
397,604,3000,1.777938877,1.28,0.15,4,0,0.177793888,1
398,397,5000,3.503992504,2.36,0.15,4,0,0,2
398,399,5000,1.010716312,0.72,0.15,4,0,0.101071631,2
398,400,6500,3.147571089,2.11,0.15,4,0,0,2
398,403,8000,4.515819264,3.06,0.15,4,0,0,2
399,398,5000,1.010716312,0.72,0.15,4,0,0,2
399,537,5000,6.331770847,4.28,0.15,4,0,0.633177085,2
399,604,7000,2.734693885,3.32,0.15,4,0,0,1
399,609,7000,2.195145216,0.88,0.15,4,0,0.219514522,1
400,398,6500,3.147571089,2.11,0.15,4,0,0,2
400,401,5000,5.561136472,4.09,0.15,4,0,0,2
400,587,500,1.625002917,0.88,0.15,4,0,0.162500292,1
400,609,500,4.035735855,6.72,0.15,4,0,0,1
401,400,5000,5.561136472,4.09,0.15,4,0,0,2
401,402,5000,2.414659738,1.69,0.15,4,0,0,2
401,585,6000,1.610100392,1.7,0.15,4,0,0,1
401,590,6000,3.573435698,1.81,0.15,4,0,0.35734357,1
402,401,5000,2.414659738,1.69,0.15,4,0,0,2
403,398,8000,4.515819264,3.06,0.15,4,0,0,2
403,404,6500,4.835306235,3.26,0.15,4,0,0.483530624,2
403,606,1500,1.93621786,2.84,0.15,4,0,0.193621786,1
403,611,1500,3.104408483,2.07,0.15,4,0,0.310440848,1
404,403,6500,4.835306235,3.26,0.15,4,0,0,2
404,405,5000,1.475816728,1.05,0.15,4,0,0.147581673,2
404,675,5500,2.483523567,3.14,0.15,4,0,0,1
404,680,5500,2.591768045,1.27,0.15,4,0,0.259176804,1
405,404,5000,1.475816728,1.05,0.15,4,0,0.147581673,2
405,406,5000,3.519088151,2.53,0.15,4,0,0,2
405,488,5000,1.53346343,1.01,0.15,4,0,0.153346343,2
406,405,5000,3.519088151,2.53,0.15,4,0,0,2
406,407,5000,4.9094809,3.31,0.15,4,0,0,2
406,677,3000,1.32074034,2,0.15,4,0,0,1
406,682,3000,3.547734474,2.45,0.15,4,0,0.354773447,1
407,406,5000,4.9094809,3.31,0.15,4,0,0,2
407,408,5000,4.737651241,3.25,0.15,4,0,0,2
407,687,6500,1.32074034,1.71,0.15,4,0,0,1
407,692,6500,3.95248449,2.47,0.15,4,0,0.395248449,1
408,407,5000,4.737651241,3.25,0.15,4,0,0.473765124,2
408,409,5000,3.081040808,2.17,0.15,4,0,0,2
408,689,2000,1.688974341,2.19,0.15,4,0,0,1
408,694,2000,3.385078076,2.11,0.15,4,0,0.338507808,1
409,408,5000,3.081040808,2.17,0.15,4,0,0,2
409,410,5000,5.761998697,3.93,0.15,4,0,0,2
409,538,5000,2.266423062,1.47,0.15,4,0,0,2
409,539,5000,4.111439397,2.86,0.15,4,0,0.41114394,2
410,409,5000,5.761998697,3.93,0.15,4,0,0.57619987,2
410,411,3500,4.814336483,2.72,0.15,4,0,0.481433648,2
410,690,2000,4.525410954,2.9,0.15,4,0,0,1
410,700,2000,1.02492682,1.09,0.15,4,0,0.102492682,1
411,410,3500,4.814336483,2.72,0.15,4,0,0.481433648,2
411,412,3500,4.728494074,2.73,0.15,4,0,0,2
411,685,6000,4.697819977,3.04,0.15,4,0,0,1
411,695,6000,1.02492682,1.04,0.15,4,0,0,1
412,411,3500,4.728494074,2.73,0.15,4,0,0.472849407,2
412,413,3500,4.623371724,2.61,0.15,4,0,0,2
413,412,3500,4.623371724,2.61,0.15,4,0,0.462337172,2
413,414,3500,4.520084026,2.62,0.15,4,0,0,2
413,730,4000,5.102006723,3.35,0.15,4,0,0,1
413,734,4000,1.001140716,0.65,0.15,4,0,0,1
414,413,3500,4.520084026,2.62,0.15,4,0,0.452008403,2
414,415,3500,7.03886832,4.1,0.15,4,0,0,2
414,731,3500,5.1508825,3.29,0.15,4,0,0,1
414,735,3500,1.02492682,0.54,0.15,4,0,0,1
415,414,3500,7.03886832,4.1,0.15,4,0,0,2
415,416,3500,9.905447946,5.67,0.15,4,0,0,2
415,727,3500,6.83110201,4.8,0.15,4,0,0,1
415,733,3500,2.826539148,3.01,0.15,4,0,0,1
416,415,3500,9.905447946,5.67,0.15,4,0,0,2
416,417,3500,9.00278299,5.15,0.15,4,0,0,2
416,726,2000,3.291253321,1.54,0.15,4,0,0,1
416,732,2000,6.359113601,5.28,0.15,4,0,0,1
417,416,3500,9.00278299,5.15,0.15,4,0,0,2
417,732,3500,13.19208245,9.84,0.15,4,0,0,1
417,913,3500,5.032595716,3.45,0.15,4,0,0,1
417,926,3500,10.49318038,6.29,0.15,4,0,0,2
418,419,5000,8.861981484,5.27,0.15,4,0,0,2
418,921,2000,3.762614085,3.86,0.15,4,0,0,1
418,922,2000,6.844491752,4.77,0.15,4,0,0,1
418,923,5000,16.72382004,8.98,0.15,4,0,0,2
419,418,5000,8.861981484,5.27,0.15,4,0,0,2
